"","wy","location","total_rain","spi"
"1",2018,"santa barbara",0.233418747203,-0.689901485064536
"2",2018,"santa cruz",0.3711699948703,-1.42391433675051
"3",2019,"santa barbara",0.201734372773,-0.819109621692045
"4",2019,"santa cruz",0.5921485078481,-0.772170854081218
"5",2020,"santa barbara",1.351065634304,1.94772308820527
"6",2020,"santa cruz",1.5982774991886,1.75189238145407
"7",2021,"santa barbara",0.63888751195,0.837656180686479
"8",2021,"santa cruz",1.1656984921183,0.863187010090614
"9",2022,"santa barbara",0.583393757619,0.519712254849136
"10",2022,"santa cruz",1.3960034814676,1.50623444987103
"11",2023,"santa barbara",0.392056257302,0.0496652990197633
"12",2023,"santa cruz",1.0690795048886,1.45116594724349
"13",2024,"santa barbara",0.290381254772,-0.466464078170953
"14",2024,"santa cruz",0.703474998082,-0.233392789584009
"15",2025,"santa barbara",0.390806248482,-0.214544271945926
"16",2025,"santa cruz",0.5880789983542,-0.784809888099546
"17",2026,"santa barbara",0.18089374959,-0.629954648569261
"18",2026,"santa cruz",0.5948594990249,-0.642499883967178
"19",2027,"santa barbara",0.313034376328,-0.510719777567506
"20",2027,"santa cruz",0.6713074922554,-0.784170276716635
"21",2028,"santa barbara",0.383034373563,-0.200798759681104
"22",2028,"santa cruz",0.8670294897572,0.185241589080394
"23",2029,"santa barbara",0.90948123757,1.79387726083072
"24",2029,"santa cruz",0.8861715093608,0.682881636604623
"25",2030,"santa barbara",0.650196873139,0.500902744743912
"26",2030,"santa cruz",0.9680854986667,0.457707630863875
"27",2031,"santa barbara",1.49997187333,1.48783398737111
"28",2031,"santa cruz",1.6547499846295,1.46765519626462
"29",2032,"santa barbara",0.271793754876,-0.235876197144319
"30",2032,"santa cruz",0.5055949887366,-0.967148870423378
"31",2033,"santa barbara",0.126537498975,-1.84662696072053
"32",2033,"santa cruz",0.6191104966605,-1.00193425275328
"33",2034,"santa barbara",0.407631263146,-0.100384888218203
"34",2034,"santa cruz",0.7922345119148,-0.0416512868284233
"35",2035,"santa barbara",0.197878123146,-1.04916286363555
"36",2035,"santa cruz",0.4677174948363,-1.60049322720136
"37",2036,"santa barbara",0.244834373129,-0.642231884787995
"38",2036,"santa cruz",0.584929499676,-0.601306076748299
"39",2037,"santa barbara",0.664984388112,0.366721246218986
"40",2037,"santa cruz",1.0205339866787,0.317696614735277
"41",2038,"santa barbara",0.266881248841,-0.254561519941416
"42",2038,"santa cruz",0.7618400089888,-0.115568909689371
"43",2039,"santa barbara",0.174568748147,-1.41062323575474
"44",2039,"santa cruz",0.5101710039909,-1.50107313810104
"45",2040,"santa barbara",0.603846884212,0.583356687420351
"46",2040,"santa cruz",0.8737094830329,0.204860290055169
"47",2041,"santa barbara",0.46014999837,0.343524737574093
"48",2041,"santa cruz",0.6933695008329,-0.250334451781264
"49",2042,"santa barbara",0.333090626089,-0.318562676792241
"50",2042,"santa cruz",0.7847684858385,-0.00486009197568873
"51",2043,"santa barbara",0.903246876183,0.75105906301489
"52",2043,"santa cruz",1.1757560181694,0.634725757361864
"53",2044,"santa barbara",0.470774997719,0.380100084750901
"54",2044,"santa cruz",0.9777395108248,0.460740457645157
"55",2045,"santa barbara",0.532200004827,0.461093337056787
"56",2045,"santa cruz",1.1440869971404,0.802176043443111
"57",2046,"santa barbara",0.832187493721,1.21413164849774
"58",2046,"santa cruz",1.1335994838801,0.901724237937468
"59",2047,"santa barbara",0.318293748641,-0.310411026725147
"60",2047,"santa cruz",0.6806059958203,-0.317953021242585
"61",2048,"santa barbara",0.201734374013,-0.831662225778132
"62",2048,"santa cruz",0.5921485079781,-0.577510872465962
"63",2049,"santa barbara",1.351065634304,1.3244255290449
"64",2049,"santa cruz",1.5982774991886,1.37830842232618
"65",2050,"santa barbara",0.63888751195,0.7742402671844
"66",2050,"santa cruz",1.1656984922813,0.89719675407828
"67",2051,"santa barbara",0.583393757619,0.647403394529002
"68",2051,"santa cruz",1.3960034816576,1.47188903615422
"69",2052,"santa barbara",0.392481257302,-0.161728762333953
"70",2052,"santa cruz",1.0693995049469,0.740249956959
"71",2053,"santa barbara",0.289956254772,-0.463913351682748
"72",2053,"santa cruz",0.7031549981635,-0.199057141442335
"73",2054,"santa barbara",0.390806248482,-0.138390641167927
"74",2054,"santa cruz",0.5880789984142,-0.590900042834817
"75",2055,"santa barbara",0.18089374959,-0.908660008652106
"76",2055,"santa cruz",0.5948594993149,-0.763784512833526
"77",2056,"santa barbara",0.313034376328,-0.0875722407421038
"78",2056,"santa cruz",0.6713259924154,-0.390145723030145
"79",2057,"santa barbara",0.383034373563,-0.160762162330583
"80",2057,"santa cruz",0.8670109897572,-0.0577805172849162
"81",2058,"santa barbara",0.90948123757,1.40201999863959
"82",2058,"santa cruz",0.8861715093608,0.241195390282871
"83",2059,"santa barbara",0.650196873139,1.03541382399103
"84",2059,"santa cruz",0.9680854986267,1.03864137005083
"85",2060,"santa barbara",1.50070624833,1.83246734787762
"86",2060,"santa cruz",1.6547499846295,1.80376017795537
"87",2061,"santa barbara",0.271059379876,-0.562969846026604
"88",2061,"santa cruz",0.5055949890177,-1.05526261420443
"89",2062,"santa barbara",0.126537498975,-0.940690796092666
"90",2062,"santa cruz",0.6191104966605,-0.560177242632938
"91",2063,"santa barbara",0.407631263146,-0.0482018072683606
"92",2063,"santa cruz",0.7922345119148,-0.320766365058943
"93",2064,"santa barbara",0.197878123146,-1.15596092607502
"94",2064,"santa cruz",0.4677359950263,-1.2433394796728
"95",2065,"santa barbara",0.244834373129,-0.731308449399428
"96",2065,"santa cruz",0.584910999536,-0.854451095781261
"97",2066,"santa barbara",0.664984388112,0.531720454407142
"98",2066,"santa cruz",1.0205339865987,0.57921158907325
"99",2067,"santa barbara",0.266881248841,-0.57696516720276
"100",2067,"santa cruz",0.7618400089888,-0.291280234712212
"101",2068,"santa barbara",0.174568748147,-0.662270093204438
"102",2068,"santa cruz",0.5104955039909,-0.948336201048528
"103",2069,"santa barbara",0.603846884212,0.718842692318861
"104",2069,"santa cruz",0.8733849828429,-0.0360790889639866
"105",2070,"santa barbara",0.46014999837,0.101039699612534
"106",2070,"santa cruz",0.6933695008329,-0.364822950962864
"107",2071,"santa barbara",0.333090626089,-0.233953756997571
"108",2071,"santa cruz",0.7847684859485,0.211067947907533
"109",2072,"santa barbara",0.903246876183,0.976379497847534
"110",2072,"santa cruz",1.1757560181694,0.916426392888145
"111",2073,"santa barbara",0.470774997719,-0.0220347648616865
"112",2073,"santa cruz",0.9777395108248,0.2247369453638
"113",2074,"santa barbara",0.532200004827,0.533435348490564
"114",2074,"santa cruz",1.1440869971404,0.849469924027062
"115",2075,"santa barbara",0.832187493721,1.42726964280471
"116",2075,"santa cruz",1.1335994838801,0.77229695651623
"117",2076,"santa barbara",0.084875001438,-2.14975681695175
"118",2076,"santa cruz",0.309436000699,-2.06067655624485
